Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
abaxial,7,,,facing away from the axis of an organ or organism,the abaxial surface of a leaf is the underside or side facing away from the stem,,
abducent,8,,,especially of muscles,drawing away from the midline of the body or from an adjacent part,,
abhorrent,9,,offensive to the mind,an abhorrent deed,the obscene massacre at Wounded Knee,morally repugnant customs,repulsive behavior
abject,6,,of the most contemptible kind,abject cowardice,a low stunt to pull,a low-down sneak,his miserable treatment of his family
ablaze(p),9,,lighted up by or as by fire or flame,forests set ablaze (or afire) by lightning,even the car's tires were aflame,a night aflare with fireworks,candles alight on the tables
able,4,,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,able to swim,she was able to program her computer,we were at last able to buy a car,able to get a grant for the project
abnormal,8,,not normal,not typical or usual or regular or conforming to a norm,abnormal powers of concentration,abnormal amounts of rain,abnormal circumstances
abominable,10,,unequivocally detestable,abominable treatment of prisoners,detestable vices,execrable crimes,consequences odious to those you govern- Edmund Burke
aboriginal,10,,having existed from the beginning,in an earliest or original stage or state,aboriginal forests,primal eras before the appearance of life on earth,the forest primeval
abounding,9,galore(ip),existing in abundancewhiskey galore,,,,
abreast(p),10,,being up to particular standard or level especially in being up to date in knowledge,kept abreast of the latest developments,constant revision keeps the book au courant,always au fait on the latest events,up on the news
abridged,8,,(used of texts) shortened by condensing or rewriting,an abridged version,,,
abrupt,6,,extremely steep,an abrupt canyon,the precipitous rapids of the upper river,the precipitous hills of Chinese paintings,a sharp drop
absent,6,,lost in thought,showing preoccupation,an absent stare,an absentminded professor,the scatty glancing quality of a hyperactive but unfocused intelligence
absolute,8,,perfect or complete or pure,absolute loyalty,absolute silence,absolute truth,absolute alcohol
absolute,8,downright,complete and without restriction or qualification,sometimes used informally as intensifiers,absolute freedom,an absolute dimwit,a downright lie
absorbable,10,,capable of being absorbed or taken in through the pores of a surface,,,,
absorbefacient,14,sorbefacient,inducing or promoting absorption,,,,
absorbent,9,absorptive,having power or capacity or tendency to absorb or soak up something (liquids or energy etc.),,,,
abstemious,10,,sparing in consumption of especially food and drink,,,,
abstemious,10,,marked by temperance in indulgence,abstemious with the use of adverbs,a light eater,a light smoker,ate a light supper
abstinent,9,abstentious,self-restraining,not totally abstinent but abstemious,,,
abstract,8,,existing only in the mind,abstract words like `truth' and `justice',,,
abstruse,8,,difficult to penetrate,incomprehensible to one of ordinary understanding or knowledge,the professor's lectures were so abstruse that students tended to avoid them,a deep metaphysical theory,some recondite problem in historiography
absurd,6,,so unreasonable as to invite derision,the absurd excuse that the dog ate his homework,that's a cockeyed idea,ask a nonsensical question and get a nonsensical answer,a contribution so small as to be laughable
abundant,8,,present in great quantity,,,,
abused,6,ill-treated|maltreated|mistreated,subjected to cruel treatment,,,,
acceptable,10,,worthy of acceptance or satisfactoryperformances varied from acceptable to excellent,,,,
accepted,8,recognized|recognised|,generally approved or compelling recognitionhis recognized superiority in this kind of work,,,,
accessible,10,,capable of being reached,,,,
accommodating,13,accommodative,helpful in bringing about a harmonious adaptationmade a special effort to be accommodating,,,,
accountable,11,,liable to account for one's actions,governments must be accountable to someone beside themselves,fully accountable for what they did,the court held the parents answerable for their minor child's acts of vandalism,he was answerable to no one
accredited,10,,given official approval to act,an accredited college,commissioned broker,licensed pharmacist,authorized representative
accurate,8,,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,an accurate reproduction,the accounting was accurate,accurate measurements,an accurate scale
accusative,10,,containing or expressing accusation,an accusative forefinger,black accusatory looks,accusive shoes and telltale trousers- O.Henry,his accusing glare
accustomed,10,,commonly used or practiced,usual,his accustomed thoroughness,took his customary morning walk,his habitual comment
accustomed to,13,used to,in the habit of or adapted toI've grown accustomed to her face,we are used to better service in this restaurant,,,
ace,3,,,of the highest quality,an ace reporter,a crack shot,a first-rate golfer
acerb,5,,harsh or corrosive in tone,an acerbic tone piercing otherwise flowery prose,a barrage of acid comments,her acrid remarks make her many enemies,bitter words
acid,4,,an acid reaction,,,,
acid-forming,12,,yielding an acid in aqueous solution,,,,
acidic,6,,of a solution having an excess of hydrogen atoms (having a pH of less than 7),,,,
acid-loving,11,,,,,,
acidophilic,11,acidophilous|aciduric|,especially of some bacteria,,,,
acknowledged,12,,recognized or made known or admitteda woman of acknowledged accomplishments,his acknowledged error,,,
acrobatic,9,,vigorously active,an acrobatic dance,an athletic child,athletic playing,gymnastic exercises
acroscopic,10,,,facing or on the side toward the apex,,,
across-the-board,16,,broad in scope or content,across-the-board pay increases,an all-embracing definition,blanket sanctions against human-rights violators,an invention with broad applications
active,6,,,engaged in or ready for military or naval operations,on active duty,the platoon is combat-ready,review the fighting forces
acute,5,,,having or experiencing a rapid onset and short but severe course,acute appendicitis,the acute phase of the illness,acute patients
acute,5,,having or demonstrating ability to recognize or draw fine distinctions,an acute observer of politics and politicians,incisive comments,icy knifelike reasoning,as sharp and incisive as the stroke of a fang
adaxial,7,,,nearest to or facing toward the axis of an organ or organism,the upper side of a leaf is known as the adaxial surface,,
addled,6,,confused and vague,used especially of thinking,muddleheaded ideas,your addled little brain,woolly thinking
adducent,8,,,especially of muscles,bringing together or drawing toward the midline of the body or toward an adjacent part,,
adept,5,,having or showing knowledge and skill and aptitude,adept in handicrafts,an adept juggler,an expert job,a good mechanic
adequate,8,,having the requisite qualities or resources to meet a task,she had adequate training,her training was adequate,she was adequate to the job,he was equal to the task
adequate,8,,sufficient for the purpose,an adequate income,the food was adequate,enough food,food enough
adjacent,8,,nearest in space or position,immediately adjoining without intervening space,had adjacent rooms,in the next room,the person sitting next to me
adjacent,8,,having a common boundary or edge,abutting,touching,Rhode Island has two bordering states; Massachusetts and Connecticut,the side of Germany conterminous with France
ad-lib,6,,with little or no preparation or forethought,his ad-lib comments showed poor judgment,an extemporaneous piano recital,an extemporary lecture,an extempore skit
adolescent,10,,displaying or suggesting a lack of maturity,adolescent insecurity,jejune responses to our problems,their behavior was juvenile,puerile jokes
adroit,6,,quick or skillful or adept in action or thought,an exceptionally adroit pianist,an adroit technician,his adroit replies to hecklers won him many followers,an adroit negotiator
adsorbable,10,adsorbate,capable of being adsorbed or accumulated on a surface of a solid,,,,
adsorbent,9,adsorptive|surface-assimilative|,having capacity or tendency to adsorb or cause to accumulate on a surface,,,,
adust,5,,dried out by heat or excessive exposure to sunlight,a vast desert all adust,land lying baked in the heat,parched soil,the earth was scorched and bare
advanced,8,,far along in time,a man of advanced age,advanced in years,a ripe old age,the ripe age of 90
advanced,8,,ahead of the times,the advanced teaching methods,had advanced views on the subject,a forward-looking corporation,is British industry innovative enough?
advisable,9,,worthy of being recommended or suggested,prudent or wise,such action is neither necessary nor advisable,extreme caution is advisable,it is advisable to telephone first
aerial,6,,,existing or living or growing or operating in the air,aerial roots of a philodendron,aerial particles,small aerial creatures such as butterflies
aeriform,8,,characterized by lightness and insubstantiality,as impalpable or intangible as air,figures light and aeriform come unlooked for and melt away- Thomas Carlyle,aerial fancies,an airy apparition
aesthetic,9,,concerning or characterized by an appreciation of beauty or good taste,the aesthetic faculties,an aesthetic person,aesthetic feeling,the illustrations made the book an aesthetic success
affable,7,,diffusing warmth and friendliness,an affable smile,an amiable gathering,cordial relations,a cordial greeting
affectionate,12,,having or displaying warmth or affection,affectionate children,a fond embrace,fond of his nephew,a tender glance
afferent,8,,,of nerves and nerve impulses,conveying sensory information from the sense organs to the CNS,afferent nerves,afferent impulses
affluent,8,,having an abundant supply of money or possessions of value,an affluent banker,a speculator flush with cash,not merely rich but loaded,moneyed aristocrats
afloat(p),9,,covered with water,the main deck was afloat (or awash),the monsoon left the whole place awash,a flooded bathroom,inundated farmlands
afraid,6,,filled with regret or concern,used often to soften an unpleasant statement,I'm afraid I won't be able to come,he was afraid he would have to let her go,I'm afraid you're wrong
afraid(p),9,,filled with fear or apprehension,afraid even to turn his head,suddenly looked afraid,afraid for his life,afraid of snakes
aged,4,elderly,advanced in years,(`aged' is pronounced as two syllables),aged members of the society,elderly residents could remember the construction of the first skyscraper,senior citizen
ageless,7,,continuing forever or indefinitely,the ageless themes of love and revenge,eternal truths,life everlasting,hell's perpetual fires
