Word,Count,Senses,Definition,Example
a bit,5,a little a trifle,to a small degree,somewhat
a cappella,10,a capella,without musical accompaniment,they performed a cappella
a fortiori,10,,with greater reason,"for a still stronger, more certain reason"
a la carte,10,,by ordering items listed individually on a menu,we ate a la carte
a la mode,9,,with ice cream on top or on the side,we served the apple pie a la mode
a lot,5,lots a good deal  a great deal  much  very much,to a very great degree or extent,I feel a lot better
aback,5,,by surprise,taken aback by the caustic remarks
aback,5,,having the wind against the forward side of the sails,the ship came up into the wind with all yards aback
abjectly,8,resignedly,in a hopeless resigned manner,she shrugged her shoulders abjectly
abnormally,10,,in an abnormal manner,they were behaving abnormally
aboard,6,,on first or second or third base,
aboard,6,,part of a group,Bill's been aboard for three years now
aboard,6,alongside,side by side,anchored close aboard another ship
about,5,around,in the area or vicinity,a few spectators standing about
about,5,around,all around or on all sides,dirty clothes lying around (or about)
about,5,around,in or to a reversed position or direction,about face
about,5,around,used of movement to or among many different places or in no particular direction,wandering about with no place to go
about,5,almost most  nearly  nea nigh  virtually  well-nigh,(of actions or states) slightly short of or not quite accomplished,all but
about,5,,in rotation or succession,turn about is fair play
above,5,supra,(in writing) at an earlier place,see above
above all,9,most importantly most especially,above and beyond all other consideration,"above all, you must be independent"
abroad,6,,to or in a foreign country,they had never travelled abroad
abruptly,8,suddenly short  dead,quickly and without warning,he stopped suddenly
absently,8,abstractedly inattentively  absentmindedly,in an absentminded or preoccupied manner,he read the letter absently
absolutely,10,,totally and definitely,without question
absolutely,10,perfectly utterly  dead,completely and without qualification,used informally as intensifiers
abstemiously,12,temperately,in a sparing manner,without overindulgence
abstrusely,10,,in a manner difficult to understand,the professor's abstrusely reasoned theories were wasted on his students
absurdly,8,,in an absurd manner or to an absurd degree,an absurdly rich young woman
abundantly,10,copiously profusely  extravagantly,in an abundant manner,they were abundantly supplied with food
abusively,9,,in an abusive manner,he behaved abusively toward his children
academically,12,,in regard to academic matters,"academically, this is a good school"
accelerando,11,,with increasing speed,
acceptably,10,tolerably so-so,in an acceptable (but not outstanding) manner,she plays tennis tolerably
accordingly,11,,in accordance with,she acted accordingly
accurately,10,,with few mistakes,he works very accurately
accurately,10,,strictly correctly,repeated the order accurately
accusingly,10,,in an accusing manner,he looked at her accusingly
acoustically,12,,with respect to acoustics,acoustically ill-equipped studios
across,6,crosswise crossways,transversely,the marble slabs were cut across
across,6,,to the opposite side,the football field was  feet across
across the board,16,,including all,we got a pay raise across the board
actively,8,,in an active manner,he participated actively in the war
actually,8,in reality,used to imply that one would expect the fact to be the opposite of that stated,surprisingly
actually,8,really,in actual fact,to be nominally but not actually independent
actually,8,,as a sentence modifier to add slight emphasis,"actually, we all help clear up after a meal"
actually,8,,at the present moment,the transmission screen shows the picture that is actually on the air
acutely,7,,having a rapid onset,an acutely debilitating virus
AD,2,A.D. anno Domini,in the Christian era,used before dates after the supposed year Christ was born
ad hoc,6,,for one specific case,they were appointed ad hoc
ad infinitum,12,,to infinity,without or seemingly without limit
ad interim,10,,for an intervening time,temporarily
ad lib,6,ad libitum spontaneously  impromptu,without advance preparation,he spoke ad lib
ad nauseam,10,,to a sickening extent,he played the song ad nauseam
ad val,6,ad valorem,in proportion to the estimated value of the goods taxed,the goods were taxed ad valorem
adagio,6,,slowly,
adamantly,9,,inflexibly,unshakably
additionally,12,to boot,"in addition, by way of addition",furthermore
adequately,10,,in an adequate manner or to an adequate degree,he was adequately prepared
adjectivally,12,,as an adjective,in an adjectival manner
adjectively,11,,as an adjective,nouns are frequently used adjectively
administratively,16,,by or for an administrator,this decision was made administratively
admirably,9,laudably praiseworthily  commendable,in an admirable manner,the children's responses were admirably normal
admiringly,10,,with admiration,he looked at his wife admiringly
adorably,8,endearingly,in an adorable manner,the toddler behaved adorably
adoringly,9,,with adoration,he looked at his wife adoringly
adrift,6,,"off course, wandering aimlessly",there was a search for beauty that had somehow gone adrift
adrift,6,,floating freely,not anchored
adroitly,8,,with adroitness,in an adroit manner
adulterously,12,,in an adulterous manner,he behaved adulterously
adverbially,11,,as an adverb,the prepositional phrase here is used adverbially
adversely,9,,in an adverse manner,she was adversely affected by the new regulations
aerially,8,,by means of aircraft,the survey was carried out aerially
aesthetically,13,esthetically,in a tasteful way,this building is aesthetically very pleasing
afar,4,,(old-fashioned) at or from or to a great distance,far
affably,7,amiably genially,in an affable manner,"`Come and visit me,' he said amiably"
affectingly,11,poignantly touchingly,in a poignant or touching manner,she spoke poignantly
afield,6,,off the subject,beyond the point at issue
afield,6,,in or into a field (especially a field of battle),"the armies were afield, challenging the enemy's advance"
afield,6,abroad,far away from home or one's usual surroundings,looking afield for new lands to conquer- R.A.Hall
afoot,5,,on foot,walking
afresh,6,anew,again but in a new or different way,start afresh
aft,3,abaft astern,at or near or toward the stern of a ship or tail of an airplane,stow the luggage aft
after,5,fashion,to some extent,not very well
after,5,,behind or in the rear,and Jill came tumbling after
after all,9,,emphasizes something to be considered,"after all, she is your boss, so invite her"
after all,9,,in spite of expectations,came to the party after all
after hours,11,,not during regular hours,he often worked after hours
again,5,once again once more  over again,anew,she tried again
against the clock,17,against time,as fast as possible,before a deadline
aggravatingly,13,,in an aggravating fashion,his hair was caught aggravatingly in the branches of the tree
aggressively,12,sharply,in an aggressive manner,she was being sharply questioned
agilely,7,nimbly,in a nimble or agile manner,with quickness and lightness and ease
ago,3,,in the past,long ago
agonizingly,11,excruciatingly torturously,in a very painful manner,the progress was agonizingly slow
aground,7,,with the bottom lodged on the ground,he ran the ship aground
ahead,5,in front before,at or in the front,I see the lights of a town ahead
ahead,5,in advance beforehand,ahead of time,in anticipation
ahead,5,onward onwards  forward  forwards  forrade,in a forward direction,go ahead
ahead,5,out front in the lead,leading or ahead in a competition,the horse was three lengths ahead going into the home stretch
ahead,5,,to a different or a more advanced time (meaning advanced either toward the present or toward the future),moved the appointment ahead from Tuesday to Monday
ahead,5,,to a more advanced or advantageous position,a young man sure to get ahead
ahead,5,forward,toward the future,forward in time
ahead of the game,17,,in an advantageous position,she's ahead of the game
aimlessly,9,,without aim,in an aimless manner
akimbo,6,,with hands on hips and elbows extending outward,she stood there akimbo
alarmingly,10,,in an alarming manner,It grew alarmingly fast
alee,4,,on or toward the lee,put the helm alee
alertly,7,,in mentally perceptive and responsive way,"she got through the day alertly, despite being on drugs"
algebraically,13,,in an algebraic manner,algebraically determined
alias,5,a.k.a. also known as,as known or named at another time or place,"Mr. Smith, alias Mr. Lafayette"
alike,5,,in a like manner,they walk alike
alike,5,likewise,equally,parents and teachers alike demanded reforms
all along,9,right along,all the time or over a period of time,She had known all along
all in all,10,on the whole altogethe tout ensemble,with everything considered (and neglecting details),"altogether, I'm sorry it happened"
all of,6,sudden all at once,without warning,"all at once, he started shouting"
all over,8,over,over the entire area,the wallpaper was covered all over with flowers
all right,9,alright,without doubt (used to reinforce an assertion),it's expensive all right
all the way,11,the whole way,to the goal,she climbed the mountain all the way
all the way,11,,not stopping short of sexual intercourse,she went all the way with him
all together,12,,used of a group whose members acted or were acted upon collectively and when `all' and `together' can be separated by other words,they were herded all together
all together,12,all at once,all at the same time,Let's say `Yes' all at once
all too,7,only too,to a high degree,she is all too ready to accept the job
allegedly,9,,according to what has been alleged,he was on trial for allegedly murdering his wife
allegorically,13,,in an allegorical manner,the play ended allegorically
allegretto,10,,in a moderately quick tempo,
allegro,7,,in a quick and lively tempo,
alliteratively,14,,in an alliterative manner,the early Norse poets wrote alliteratively
aloft,5,,in the higher atmosphere above the earth,weather conditions aloft are fine
